"id";"name";"abbreviated_name";"is_abbreviated";"position";"is_department";"year";"ministry";"person_id"
8869;"Otto Georg Vilhelm Muller";"O. G. V. Muller";FALSE;"kontorchef";TRUE;1872;"finansministeriet";271
8870;"W. F. Johnsen";"W. F. Johnsen";TRUE;"departementschef";TRUE;1872;"finansministeriet";15
8400;"Johannes Vilhelm Funch";"J. V. Funch";FALSE;"kontorchef";TRUE;1873;"finansministeriet";275
8394;"Frederik Christian Lebel";"F. C. Lebel";FALSE;"fuldmægtig";TRUE;1873;"finansministeriet";291
8375;"Peter Vilhelm Neesbye";"P. V. Neesbye";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";324
8376;"Emil Vilhelm Dämon Hansen";"E. V. D. Hansen";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";325
8398;"Christian Estild Theodor Hansen";"C. E. T. Hansen";FALSE;"fuldmægtig";TRUE;1873;"finansministeriet";349
8397;"E. T. I. Schiern";"E. T. I. Schiern";TRUE;"departementschef";TRUE;1873;"finansministeriet";108
8399;"Johannes Sylvester Lütken";"J. S. Lütken";FALSE;"fuldmægtig";TRUE;1873;"finansministeriet";198
8396;"H. C. Erichsen";"H. C. Erichsen";TRUE;"kontorchef";TRUE;1873;"finansministeriet";223
6775;"Jonas Nicolai Johannes Poulsen";"J. N. J. Poulsen";FALSE;"fuldmægtig";TRUE;1873;"justitsministeriet";344
8395;"Christian Frederik Stub";"C. F. Stub";FALSE;"fuldmægtig";TRUE;1873;"finansministeriet";214
6777;"C. F. Ricard";"C. F. Ricard";TRUE;"departementschef";TRUE;1873;"justitsministeriet";216
6776;"Theodor Linde";"T. Linde";FALSE;"kontorchef";TRUE;1873;"justitsministeriet";246
8378;"S. H. A. Wedel";"S. H. A. Wedel";TRUE;"departementschef";FALSE;1873;"finansministeriet";66
8379;"Henrik Christian Martin Kjeldberg";"H. C. M. Kjeldberg";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";280
6774;"Hans Villgaard";"H. Villgaard";FALSE;"fuldmægtig";TRUE;1873;"justitsministeriet";342
6773;"Julius Goldschmidt";"J. Goldschmidt";FALSE;"kontorchef";TRUE;1873;"justitsministeriet";345
8401;"Peter Nicolai With";"P. N. With";FALSE;"fuldmægtig";TRUE;1873;"finansministeriet";249
8380;"Johannes Bruun";"J. Bruun";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";255
8377;"I. P. le Sage de Föntenay";"I. P. l. S. d. Föntenay";TRUE;"kontorchef";FALSE;1873;"finansministeriet";75
8402;"C. A. Caroc";"C. A. Caroc";TRUE;"kontorchef";TRUE;1873;"finansministeriet";195
8383;"Frederik Severin Gyldendal";"F. S. Gyldendal";FALSE;"fuldmægtig";FALSE;1873;"finansministeriet";315
8404;"R. F. Andersen";"R. F. Andersen";TRUE;"kontorchef";TRUE;1873;"finansministeriet";286
8411;"Viggo Drewsen";"V. Drewsen";FALSE;"fuldmægtig";TRUE;1873;"finansministeriet";341
8410;"I. A. Hasselberg";"I. A. Hasselberg";TRUE;"kontorchef";TRUE;1873;"finansministeriet";203
8409;"Joban Peter Möller";"J. P. Möller";FALSE;"fuldmægtig";TRUE;1873;"finansministeriet";152
8408;"Andreas Thorvald Narsleff";"A. T. Narsleff";FALSE;"fuldmægtig";TRUE;1873;"finansministeriet";350
8407;"Rasmus Mathias Dein";"R. M. Dein";FALSE;"fuldmægtig";TRUE;1873;"finansministeriet";228
8374;"Hennan Jorgen Bohn";"H. J. Bohn";FALSE;"kontorchef";FALSE;1873;"finansministeriet";135
8412;"Carl Vilhelm Lange";"C. V. Lange";FALSE;"kontorchef";TRUE;1873;"finansministeriet";340
8413;"M. Levy";"M. Levy";TRUE;"departementschef";TRUE;1873;"finansministeriet";158
8406;"Carl Römer Beck";"C. R. Beck";FALSE;"fuldmægtig";TRUE;1873;"finansministeriet";287
