id;no_need;name;abbreviated_name;is_abbreviated;position;n_honor;is_department;year;ministry;royal_honor
1;PoulChr.Saxild,;Poul Chr. Saxild;P. C. Saxild;FALSE;fuldmægtig;0;TRUE;1913;ministeriet_for_offentlig_arbejde;FALSE
2;Frederik Valdemar Petersen;Frederik Valdemar Petersen;F. V. Petersen;FALSE;fuldmægtig;0;TRUE;1913;ministeriet_for_offentlig_arbejde;FALSE
3;ThureFrederikKrarup;Thure Frederik Krarup;T. F. Krarup;FALSE;kontorchef;1;TRUE;1913;ministeriet_for_offentlig_arbejde;TRUE
4;Frants Harald Vilhelm Bentsen;Frants Harald Vilhelm Bentsen;F. H. V. Bentsen;FALSE;fuldmægtig;0;TRUE;1913;ministeriet_for_offentlig_arbejde;FALSE
5;Finn Hoskiær,;Finn Hoskiær;F. Hoskiær;FALSE;fuldmægtig;0;TRUE;1913;ministeriet_for_offentlig_arbejde;FALSE
6;Peter Andreas Hoick Colding;Peter Andreas Hoick Colding;P. A. H. Colding;FALSE;fuldmægtig;0;TRUE;1913;ministeriet_for_offentlig_arbejde;FALSE
7;P. C. Nørgaard;P. C. Nørgaard;P. C. Nørgaard;TRUE;kontorchef;1;TRUE;1913;ministeriet_for_offentlig_arbejde;TRUE
8;F. T. M. M. Nordlien;F. T. M. M. Nordlien;F. T. M. M. Nordlien;TRUE;departementschef;2;TRUE;1913;ministeriet_for_offentlig_arbejde;TRUE
9;Adam V ilhe lm H a s t r u p ,;Adam Vilhelm Hastrup;A. V. Hastrup;FALSE;fuldmægtig;0;TRUE;1873;kultusministeriet;FALSE
10;C . F . S c h w a r t z k o p f;C. F. Schwartzkopf;C. F. Schwartzkopf;TRUE;kontorchef;1;TRUE;1873;kultusministeriet;TRUE
11;Henrik Valdem ar S k ib s t e d;Henrik Valdemar Skibsted;H. V. Skibsted;FALSE;fuldmægtig;0;TRUE;1873;kultusministeriet;FALSE
12;F . C . B r u u n;F. C. Bruun;F. C. Bruun;TRUE;kontorchef;1;TRUE;1873;kultusministeriet;TRUE
13;O ve C a r l M u u s;Ove Carl Muus;O. C. Muus;FALSE;fuldmægtig;0;TRUE;1873;kultusministeriet;FALSE
14;Je n s Stephan Vilhelm W e r lä u f s t;Jens Stephan Vilhelm Werläufst;J. S. V. Werläufst;FALSE;fuldmægtig;0;TRUE;1873;kultusministeriet;FALSE
15;I . A . F . de J o n q u i ö r e s;I. A. F. de Jonquières;I. A. F. d. Jonquières;TRUE;kontorchef;1;TRUE;1873;kultusministeriet;TRUE
16;A . C . P . L in d e;A. C. P. Linde;A. C. P. Linde;TRUE;departementschef;1;TRUE;1873;kultusministeriet;TRUE
17;Peter Daniel Swane,;Peter Daniel Swane;P. D. Swane;FALSE;fuldmægtig;0;TRUE;1891;indenrigsministeriet;FALSE
18;Vilhelm Bardenfleth;Vilhelm Bardenfleth;V. Bardenfleth;FALSE;fuldmægtig;0;TRUE;1891;indenrigsministeriet;FALSE
19;Knud Sehested;Knud Sehested;K. Sehested;FALSE;fuldmægtig;0;TRUE;1891;indenrigsministeriet;FALSE
20;M. J. Jacoby;M. J. Jacoby;M. J. Jacoby;TRUE;kontorchef;2;TRUE;1891;indenrigsministeriet;TRUE
21;P. C. Nørgaard;P. C. Nørgaard;P. C. Nørgaard;TRUE;departementschef;2;TRUE;1891;indenrigsministeriet;TRUE
22;Jørgen Erik Frederik Mørup;Jørgen Erik Frederik Mørup;J. E. F. Mørup;FALSE;fuldmægtig;0;TRUE;1891;indenrigsministeriet;FALSE
23;P. G. T. Birk;P. G. T. Birk;P. G. T. Birk;TRUE;kontorchef;1;TRUE;1891;indenrigsministeriet;TRUE
24;Louis Emil Wulff,;Louis Emil Wulff;L. E. Wulff;FALSE;fuldmægtig;0;TRUE;1891;indenrigsministeriet;FALSE
25;Louis Joseph Fleron,;Louis Joseph Fleron;L. J. Fleron;FALSE;fuldmægtig;0;TRUE;1891;indenrigsministeriet;FALSE
26;H. M. F. V. S. H. Damkier;H. M. F. V. S. H. Damkier;H. M. F. V. S. H. Damkier;TRUE;kontorchef;1;TRUE;1891;indenrigsministeriet;TRUE
27;Anton Vilhelm Heinrich Groothoff;Anton Vilhelm Heinrich Groothoff;A. V. H. Groothoff;FALSE;fuldmægtig;0;TRUE;1891;indenrigsministeriet;FALSE
28;J. H. Ahnfeldt;J. H. Ahnfeldt;J. H. Ahnfeldt;TRUE;fuldmægtig;2;TRUE;1891;indenrigsministeriet;TRUE
29;P. F. Schou;P. F. Schou;P. F. Schou;TRUE;kontorchef;1;TRUE;1891;indenrigsministeriet;TRUE
30;H. E. Horring;H. E. Horring;H. E. Horring;TRUE;departementschef;2;TRUE;1891;indenrigsministeriet;TRUE
31;Aage Schlichtkrul;Aage Schlichtkrul;A. Schlichtkrul;FALSE;fuldmægtig;2;TRUE;1914;indenrigsministeriet;TRUE
32;J. H. Olivariu;J. H. Olivariu;J. H. Olivariu;TRUE;fuldmægtig;1;TRUE;1914;indenrigsministeriet;TRUE
33;V. R. Haarløv;V. R. Haarløv;V. R. Haarløv;TRUE;fuldmægtig;1;TRUE;1914;indenrigsministeriet;TRUE
34;F. C. Martensen-Larsen;F. C. Martensen-Larsen;F. C. Martensen-Larsen;TRUE;kontorchef;1;TRUE;1914;indenrigsministeriet;TRUE
35;H. A. S. Vedel;H. A. S. Vedel;H. A. S. Vedel;TRUE;departementschef;1;TRUE;1914;indenrigsministeriet;TRUE
36;Valdemar Worm,;Valdemar Worm;V. Worm;FALSE;fuldmægtig;0;TRUE;1897;landbrugsministeriet;FALSE
37;William Gustav Ditlev Frederik Richter,;William Gustav Ditlev Frederik Richter;W. G. D. F. Richter;FALSE;fuldmægtig;0;TRUE;1897;landbrugsministeriet;FALSE
38;Hans Christian Valdemar Schau;Hans Christian Valdemar Schau;H. C. V. Schau;FALSE;kontorchef;0;TRUE;1897;landbrugsministeriet;FALSE
39;Henrik Rasmus Crone,;Henrik Rasmus Crone;H. R. Crone;FALSE;fuldmægtig;0;TRUE;1897;landbrugsministeriet;FALSE
40;J. E F. Møruv;J. E. F. Møruv;J. E. F. Møruv;TRUE;kontorchef;1;TRUE;1897;landbrugsministeriet;TRUE
41;Arel Henrik Baron Bille Brahe,;Arel Henrik Baron Bille Brahe;A. H. B. B. Brahe;FALSE;fuldmægtig;0;TRUE;1897;landbrugsministeriet;FALSE
42;Hans Carl Dons,;Hans Carl Dons;H. C. Dons;FALSE;fuldmægtig;0;TRUE;1897;landbrugsministeriet;FALSE
43;Herman Carl Oluf Gram;Herman Carl Oluf Gram;H. C. O. Gram;FALSE;fuldmægtig;0;TRUE;1897;landbrugsministeriet;FALSE
44;Peter Daniel Swane,;Peter Daniel Swane;P. D. Swane;FALSE;kontorchef;0;TRUE;1897;landbrugsministeriet;FALSE
45;L. E. Wulff;L. E. Wulff;L. E. Wulff;TRUE;departementschef;1;TRUE;1897;landbrugsministeriet;TRUE
46;Knud Friis Jespersen;Knud Friis Jespersen;K. F. Jespersen;FALSE;fuldmægtig;1;TRUE;1931;arbejds_og_socialministeriet;TRUE
47;Julian Alf Jensen;Julian Alf Jensen;J. A. Jensen;FALSE;fuldmægtig;0;TRUE;1931;arbejds_og_socialministeriet;FALSE
48;H. S. de Jonquières;H. S. de Jonquières;H. S. d. Jonquières;TRUE;kontorchef;1;TRUE;1931;arbejds_og_socialministeriet;TRUE
49;Hans Ege.de Glahn,;Hans Ege de Glahn;H. E. d. Glahn;FALSE;fuldmægtig;0;TRUE;1931;arbejds_og_socialministeriet;FALSE
50;O. S. D. Fenger;O. S. D. Fenger;O. S. D. Fenger;TRUE;kontorchef;2;TRUE;1931;arbejds_og_socialministeriet;TRUE
51;I. H. Schaldemose;I. H. Schaldemose;I. H. Schaldemose;TRUE;fuldmægtig;0;TRUE;1931;arbejds_og_socialministeriet;FALSE
52;Gunnar Bardenfleth;Gunnar Bardenfleth;G. Bardenfleth;FALSE;fuldmægtig;0;TRUE;1931;arbejds_og_socialministeriet;FALSE
53;Erik Dreyer,;Erik Dreyer;E. Dreyer;FALSE;fuldmægtig;0;TRUE;1931;arbejds_og_socialministeriet;FALSE
54;J. A. A. Berner;J. A. A. Berner;J. A. A. Berner;TRUE;kontorchef;1;TRUE;1931;arbejds_og_socialministeriet;TRUE
55;R. Lassen;R. Lassen;R. Lassen;TRUE;departementschef;1;TRUE;1931;arbejds_og_socialministeriet;TRUE
56;Carl Ludvig Lage;Carl Ludvig Lage;C. L. Lage;FALSE;fuldmægtig;0;TRUE;1885;indenrigsministeriet;FALSE
57;Carl Vilhelm Johannes Dreye;Carl Vilhelm Johannes Dreye;C. V. J. Dreye;FALSE;fuldmægtig;0;TRUE;1885;indenrigsministeriet;FALSE
58;Henrik Michael FrederikVictor:Sophus Haller Damkier,;Henrik Michael Frederik Victor Sophus Haller Damkier;H. M. F. V. S. H. Damkier;FALSE;fuldmægtig;0;TRUE;1885;indenrigsministeriet;FALSE
59;Meyer Jacob Jacoby;Meyer Jacob Jacoby;M. J. Jacoby;FALSE;kontorchef;0;TRUE;1885;indenrigsministeriet;FALSE
60;P.C. Nørgaard;P. C. Nørgaard;P. C. Nørgaard;TRUE;departementschef;1;TRUE;1885;indenrigsministeriet;TRUE
61;Oluf Absalon Bøgh;Oluf Absalon Bøgh;O. A. Bøgh;FALSE;fuldmægtig;0;TRUE;1885;indenrigsministeriet;FALSE
62;P. G. T. Birk;P. G. T. Birk;P. G. T. Birk;TRUE;kontorchef;1;TRUE;1885;indenrigsministeriet;TRUE
63;Vilhelm Peter Greve Schulin,;Vilhelm Peter Greve Schulin;V. P. G. Schulin;FALSE;fuldmægtig;0;TRUE;1885;indenrigsministeriet;FALSE
64;Louis Joseph Fleron,;Louis Joseph Fleron;L. J. Fleron;FALSE;fuldmægtig;0;TRUE;1885;indenrigsministeriet;FALSE
65;Johan Christopher Hoppe,;Johan Christopher Hoppe;J. C. Hoppe;FALSE;kontorchef;0;TRUE;1885;indenrigsministeriet;FALSE
66;G. C. V. H. v. Stemann,;G. C. V. H. v. Stemann;G. C. V. H. v. Stemann;TRUE;fuldmægtig;0;TRUE;1885;indenrigsministeriet;FALSE
67;Conrad Alexander Fabritius de Tengnagel,;Conrad Alexander Fabritius de Tengnagel;C. A. F. d. Tengnagel;FALSE;fuldmægtig;0;TRUE;1885;indenrigsministeriet;FALSE
68;P. F. Schou ;P. F. Schou;P. F. Schou;TRUE;kontorchef;1;TRUE;1885;indenrigsministeriet;TRUE
69;C. P. M. Bache;C. P. M. Bache;C. P. M. Bache;TRUE;departementschef;1;TRUE;1885;indenrigsministeriet;TRUE
70;Poul Otto Dorph-Petersen ;Poul Otto Dorph-Petersen;P. O. Dorph-Petersen;FALSE;fuldmægtig;1;TRUE;1927;kultusministeriet;TRUE
71;Knud Torben Oksen;Knud Torben Oksen;K. T. Oksen;FALSE;fuldmægtig;0;TRUE;1927;kultusministeriet;FALSE
72;Vagn Ingerslev,;Vagn Ingerslev;V. Ingerslev;FALSE;fuldmægtig;0;TRUE;1927;kultusministeriet;FALSE
73;C. A. Møller;C. A. Møller;C. A. Møller;TRUE;kontorchef;1;TRUE;1927;kultusministeriet;TRUE
74;C. F. A. H Graae;C. F. A. H. Graae;C. F. A. H. Graae;TRUE;departementschef;1;TRUE;1927;kultusministeriet;TRUE
75;Kai Paludan-Muller,;Kai Paludan-Muller;K. Paludan-Muller;FALSE;fuldmægtig;0;TRUE;1927;kultusministeriet;FALSE
76;C. D. Hegermann-Lindencrone;C. D. Hegermann-Lindencrone;C. D. Hegermann-Lindencrone;TRUE;fuldmægtig;1;TRUE;1927;kultusministeriet;TRUE
77;A. I. T. Barfod;A. I. T. Barfod;A. I. T. Barfod;TRUE;kontorchef;1;TRUE;1927;kultusministeriet;TRUE
78;V. Aagesen;V. Aagesen;V. Aagesen;TRUE;departementschef;1;TRUE;1927;kultusministeriet;TRUE
79;Henrik Christian M artin K je ld b e r g;Henrik Christian Martin Kjeldberg;H. C. M. Kjeldberg;FALSE;fuldmægtig;0;FALSE;1868;finansministeriet;FALSE
80;Johannes B r u u n;Johannes Bruun;J. Bruun;FALSE;fuldmægtig;0;FALSE;1868;finansministeriet;FALSE
81;W . v. H a l l i n g;W. v. Halling;W. v. Halling;TRUE;fuldmægtig;0;FALSE;1868;finansministeriet;FALSE
82;O lu f C a r l Sigism u n d S c h m id t ,;Oluf Carl Sigismund Schmidt;O. C. S. Schmidt;FALSE;kontorchef;0;FALSE;1868;finansministeriet;FALSE
83;Peter Henrik B o y e;Peter Henrik Boye;P. H. Boye;FALSE;kontorchef;0;FALSE;1868;finansministeriet;FALSE
84;Frederik Severin G y ld e n d a l;Frederik Severin Gyldendal;F. S. Gyldendal;FALSE;fuldmægtig;0;FALSE;1868;finansministeriet;FALSE
85;C a rl Christian Frederik V ilh e lm W e s e nberg;Carl Christian Frederik Vilhelm Wesenberg;C. C. F. V. Wesenberg;FALSE;fuldmægtig;0;FALSE;1868;finansministeriet;FALSE
86;H an s Peter K o f o e d;Hans Peter Kofoed;H. P. Kofoed;FALSE;kontorchef;0;FALSE;1868;finansministeriet;FALSE
87;Anton Hendrik L e in e r;Anton Hendrik Leiner;A. H. Leiner;FALSE;fuldmægtig;0;FALSE;1868;finansministeriet;FALSE
88;A re l Jacob F a b e r;Arel Jacob Faber;A. J. Faber;FALSE;fuldmægtig;1;FALSE;1868;finansministeriet;TRUE
89;Jaco b E m il S c h o u b y e;Jacob Emil Schoubye;J. E. Schoubye;FALSE;kontorchef;0;FALSE;1868;finansministeriet;FALSE
90;P . T . I . B e n z o n - B u c h w a ld;P. T. I. Benzon-Buchwald;P. T. I. Benzon-Buchwald;TRUE;departementschef;1;FALSE;1868;finansministeriet;TRUE
91;Frederik Ferdinand N i e l s e n;Frederik Ferdinand Nielsen;F. F. Nielsen;FALSE;fuldmægtig;0;FALSE;1868;finansministeriet;FALSE
92;Falck Frederik C a r lH e ilb u t h;Falck Frederik Carl Heilbuth;F. F. C. Heilbuth;FALSE;fuldmægtig;0;FALSE;1868;finansministeriet;FALSE
93;C a rl Theodor B r u u n ,;Carl Theodor Bruun;C. T. Bruun;FALSE;kontorchef;0;FALSE;1868;finansministeriet;FALSE
94;G . H . M o n r a d;G. H. Monrad;G. H. Monrad;TRUE;departementschef;2;FALSE;1868;finansministeriet;TRUE
95;C a r l V a le riu s Jensen F l i n d t ,;Carl Valerius Jensen Flindt;C. V. J. Flindt;FALSE;fuldmægtig;0;FALSE;1868;finansministeriet;FALSE
96;Alfred Helge H o ls t e in;Alfred Helge Holstein;A. H. Holstein;FALSE;fuldmægtig;1;FALSE;1868;finansministeriet;TRUE
97;Je n s Peter B s y g e l u n d;Jens Peter Bsygelund;J. P. Bsygelund;FALSE;kontorchef;0;FALSE;1868;finansministeriet;FALSE
98;E m il M agnus August D a n c k e r t;Emil Magnus August Danckert;E. M. A. Danckert;FALSE;fuldmægtig;0;FALSE;1868;finansministeriet;FALSE
99;H m n an Jorgen B o h n;Herman Jorgen Bohn;H. J. Bohn;FALSE;kontorchef;0;FALSE;1868;finansministeriet;FALSE
100;Anders M artin M a d s e n;Anders Martin Madsen;A. M. Madsen;FALSE;fuldmægtig;0;FALSE;1868;finansministeriet;FALSE
101;I . P . le S a g e de F o n t e n a y;I. P. Le Sage de Fontenay;I. P. l. S. d. Fontenay;TRUE;kontorchef;1;FALSE;1868;finansministeriet;TRUE
102;S . H . A . W e d e l;S. H. A. Wedel;S. H. A. Wedel;TRUE;departementschef;1;FALSE;1868;finansministeriet;TRUE
103;Peter N ico la i W i t h ,;Peter Nicolai With;P. N. With;FALSE;fuldmægtig;0;TRUE;1868;finansministeriet;FALSE
104;E . A . C a r o c;E. A. Caroc;E. A. Caroc;TRUE;kontorchef;1;TRUE;1868;finansministeriet;TRUE
105;R a sm u s Frederik A n d e r s e n;Rasmus Frederik Andersen;R. F. Andersen;FALSE;kontorchef;1;TRUE;1868;finansministeriet;TRUE
106;C a r l Röm er B e c k ,;Carl Römer Beck;C. R. Beck;FALSE;fuldmægtig;0;TRUE;1868;finansministeriet;FALSE
107;R asm u s M athias D e i n;Rasmus Mathias Dein;R. M. Dein;FALSE;fuldmægtig;0;TRUE;1868;finansministeriet;FALSE
108;Andreas Thorvald A a r s l e f f !;Andreas Thorvald Aarsleff;A. T. Aarsleff;FALSE;fuldmægtig;0;TRUE;1868;finansministeriet;FALSE
109;Jo h a n Peter M ö l l e r;Johan Peter Möller;J. P. Möller;FALSE;fuldmægtig;0;TRUE;1868;finansministeriet;FALSE
110;I . A . H a s s e lb e r g;I. A. Hasselberg;I. A. Hasselberg;TRUE;kontorchef;1;TRUE;1868;finansministeriet;TRUE
111;J . T . S c h o v e l i n;J. T. Schovelin;J. T. Schovelin;TRUE;departementschef;4;TRUE;1868;finansministeriet;TRUE
112;Michael Johannes Wilhelm F u n c h;Michael Johannes Wilhelm Funch;M. J. W. Funch;FALSE;fuldmægtig;0;TRUE;1868;finansministeriet;FALSE
113;Johannes Sylvester L ü t k e n;Johannes Sylvester Lütken;J. S. Lütken;FALSE;fuldmægtig;0;TRUE;1868;finansministeriet;FALSE
114;C . G . K o r n;C. G. Korn;C. G. Korn;TRUE;kontorchef;1;TRUE;1868;finansministeriet;TRUE
115;Eggert Constans Greve. K n u t h;Eggert Constans Greve Knuth;E. C. G. Knuth;FALSE;fuldmægtig;0;TRUE;1868;finansministeriet;FALSE
116;N iels Christian K o e f o e d;Niels Christian Koefoed;N. C. Koefoed;FALSE;fuldmægtig;0;TRUE;1868;finansministeriet;FALSE
117;Otto Georg Wilhelm M ü ll e r;Otto Georg Wilhelm Müller;O. G. W. Müller;FALSE;kontorchef;1;TRUE;1868;finansministeriet;TRUE
118;W . F . J o h n s e n;W. F. Johnsen;W. F. Johnsen;TRUE;departementschef;1;TRUE;1868;finansministeriet;TRUE
119;A re l Harald B a ld u in A n d e r s e n;Arel Harald Baldwin Andersen;A. H. B. Andersen;FALSE;fuldmægtig;0;TRUE;1868;finansministeriet;FALSE
120;Peter Alto O le s e n;Peter Alto Olesen;P. A. Olesen;FALSE;kontorchef;1;TRUE;1868;finansministeriet;TRUE
121;Christian Ledel;Christian Ledel;C. Ledel;FALSE;fuldmægtig;0;TRUE;1868;finansministeriet;FALSE
122;Christian Frederik Stub;Christian Frederik Stub;C. F. Stub;FALSE;fuldmægtig;0;TRUE;1868;finansministeriet;FALSE
123;H. C.E r ic h s e n;H. C. Erichsen;H. C. Erichsen;TRUE;kontorchef;2;TRUE;1868;finansministeriet;TRUE
124;E . T . I . S c h ie r n;E. T. I. Schiern;E. T. I. Schiern;TRUE;departementschef;3;TRUE;1868;finansministeriet;TRUE
125;C a r l Wilhelm L a n g e;Carl Wilhelm Lange;C. W. Lange;FALSE;fuldmægtig;0;TRUE;1868;finansministeriet;FALSE
126;M . L e v y;M. Levy;M. Levy;TRUE;kontorchef;3;TRUE;1868;finansministeriet;TRUE
127;Viggo Rothe Haarløv,;Viggo Rothe Haarløv;V. R. Haarløv;FALSE;fuldmægtig;0;TRUE;1910;indenrigsministeriet;FALSE
128;Frederik Martensen-Larsen;Frederik Martensen-Larsen;F. Martensen-Larsen;FALSE;fuldmægtig;0;TRUE;1910;indenrigsministeriet;FALSE
129;Waldemar Henry Theodor Oxholm,;Waldemar Henry Theodor Oxholm;W. H. T. Oxholm;FALSE;fuldmægtig;0;TRUE;1910;indenrigsministeriet;FALSE
130;Hans Andersen;Hans Andersen;H. Andersen;FALSE;kontorchef;0;TRUE;1910;indenrigsministeriet;FALSE
131;N. M. A. Krieger.;N. M. A. Krieger;N. M. A. Krieger;TRUE;departementschef;1;TRUE;1910;indenrigsministeriet;TRUE
132;BV. E. M. Peterson;B. V. E. M. Peterson;B. V. E. M. Peterson;TRUE;kontorchef;1;TRUE;1881;justitsministeriet;TRUE
133;Finn Adolph Peter Frydensberg;Finn Adolph Peter Frydensberg;F. A. P. Frydensberg;FALSE;fuldmægtig;0;TRUE;1881;justitsministeriet;FALSE
134;O. Algreen-Ussing;O. Algreen-Ussing;O. Algreen-Ussing;TRUE;kontorchef;1;TRUE;1881;justitsministeriet;TRUE
135;O. Stephensen;O. Stephensen;O. Stephensen;TRUE;departementschef;1;TRUE;1881;justitsministeriet;TRUE
136;Julius Severin Vilhelm Lassen,;Julius Severin Vilhelm Lassen;J. S. V. Lassen;FALSE;fuldmægtig;0;TRUE;1881;justitsministeriet;FALSE
137;Theodor Adler Lund,;Theodor Adler Lund;T. A. Lund;FALSE;fuldmægtig;0;TRUE;1881;justitsministeriet;FALSE
138;Axel Peter Grüner;Axel Peter Grüner;A. P. Grüner;FALSE;kontorchef;0;TRUE;1881;justitsministeriet;FALSE
139;C. F. Nicard;C. F. Nicard;C. F. Nicard;TRUE;departementschef;2;TRUE;1881;justitsministeriet;TRUE
140;Louis Christian Petersen,;Louis Christian Petersen;L. C. Petersen;FALSE;fuldmægtig;0;TRUE;1923;kirkeministeriet;FALSE
141;Jacob Theodor Heimer Thomsen,;Jacob Theodor Heimer Thomsen;J. T. H. Thomsen;FALSE;fuldmægtig;0;TRUE;1923;kirkeministeriet;FALSE
142;Vagn Ingerslev.;Vagn Ingerslev;V. Ingerslev;FALSE;fuldmægtig;0;TRUE;1923;kirkeministeriet;FALSE
143;S. A. B.. Buchwald;S. A. B. Buchwald;S. A. B. Buchwald;TRUE;kontorchef;1;TRUE;1923;kirkeministeriet;TRUE
144;Knud Torben Oksen;Knud Torben Oksen;K. T. Oksen;FALSE;fuldmægtig;0;TRUE;1923;kirkeministeriet;FALSE
145;M. I. K. Korsgaard;M. I. K. Korsgaard;M. I. K. Korsgaard;TRUE;fuldmægtig;0;TRUE;1923;kirkeministeriet;FALSE
146;Harald Hastrup,;Harald Hastrup;H. Hastrup;FALSE;kontorchef;0;TRUE;1923;kirkeministeriet;FALSE
147;O. Damkier;O. Damkier;O. Damkier;TRUE;departementschef;1;TRUE;1923;kirkeministeriet;TRUE
148;Johan Vilh. Emanuel Thomsen,;Johan Vilh. Emanuel Thomsen;J. V. E. Thomsen;TRUE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
149;Johannes PetetTheodor L an g gaa rd;Johannes Peter Theodor Langgaard;J. P. T. Langgaard;FALSE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
150;T. V. Boesen;T. V. Boesen;T. V. Boesen;TRUE;kontorchef;1;FALSE;1900;finansministeriet;TRUE
151;Fred. Carl Chr. Hansen-Ross;Fred. Carl Chr. Hansen-Ross;F. C. C. Hansen-Ross;TRUE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
152;Ditlev Georg Ludvig Lindberg,;Ditlev Georg Ludvig Lindberg;D. G. L. Lindberg;FALSE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
153;C J. H. Riise;C. J. H. Riise;C. J. H. Riise;TRUE;kontorchef;1;FALSE;1900;finansministeriet;TRUE
154;Alfred Ernst Theodor Scheibel;Alfred Ernst Theodor Scheibel;A. E. T. Scheibel;FALSE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
155;Carl Smidth,;Carl Smidth;C. Smidth;FALSE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
156;Carl Frederik Lassen;Carl Frederik Lassen;C. F. Lassen;FALSE;kontorchef;0;FALSE;1900;finansministeriet;FALSE
157;A. C. Schmidt;A. C. Schmidt;A. C. Schmidt;TRUE;departementschef;2;FALSE;1900;finansministeriet;TRUE
158;Wichlliam Martin Bunde;Wichlliam Martin Bunde;W. M. Bunde;FALSE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
159;Jochum Hansen Grube;Jochum Hansen Grube;J. H. Grube;FALSE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
160;A. M. Madsen;A. M. Madsen;A. M. Madsen;TRUE;kontorchef;1;FALSE;1900;finansministeriet;TRUE
161;Carl Anthon Hasiing;Carl Anthon Hasiing;C. A. Hasiing;FALSE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
162;Christian Nicolai Anchet Kofoed Hoffmann;Christian Nicolai Anchet Kofoed Hoffmann;C. N. A. K. Hoffmann;FALSE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
163;Ernst Marinus Jensen;Ernst Marinus Jensen;E. M. Jensen;FALSE;kontorchef;0;FALSE;1900;finansministeriet;FALSE
164;Fred. Johan Thomsen Brandt,;Fred. Johan Thomsen Brandt;F. J. T. Brandt;TRUE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
165;Niels Chr. Marius Bollerup-Lindeiiborg;Niels Chr. Marius Bollerup-Lindeiiborg;N. C. M. Bollerup-Lindeiiborg;TRUE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
166;Oscar Frederik Jansen;Oscar Frederik Jansen;O. F. Jansen;FALSE;kontorchef;0;FALSE;1900;finansministeriet;FALSE
167;Jacob Bie,;Jacob Bie;J. Bie;FALSE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
168;Jurgen Bruun Jiirgenseii;Jürgen Bruun Jürgensen;J. B. Jürgensen;FALSE;kontorchef;0;FALSE;1900;finansministeriet;FALSE
169;Vilhelm ChristianJørgensen;Vilhelm Christian Jørgensen;V. C. Jørgensen;FALSE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
170;Victor Emanuel Munck;Victor Emanuel Munck;V. E. Munck;FALSE;kontorchef;0;FALSE;1900;finansministeriet;FALSE
171;Arel Urne,;Arel Urne;A. Urne;FALSE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
172;F. F. Nielsen;F. F. Nielsen;F. F. Nielsen;TRUE;kontorchef;1;FALSE;1900;finansministeriet;TRUE
173;J. M. E. C. v. Gad;J. M. E. C. v. Gad;J. M. E. C. v. Gad;TRUE;departementschef;4;FALSE;1900;finansministeriet;TRUE
174;Theodor Sigismund Wedel-Heinen,;Theodor Sigismund Wedel-Heinen;T. S. Wedel-Heinen;FALSE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
175;Johannes Balthazat Gebhard Obelitz;Johannes Balthazar Gebhard Obelitz;J. B. G. Obelitz;FALSE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
176;Matthias P. R. Spliid;Matthias P. R. Spliid;M. P. R. Spliid;TRUE;kontorchef;1;FALSE;1900;finansministeriet;TRUE
177;Charles Hakon Julius Klemp;Charles Hakon Julius Klemp;C. H. J. Klemp;FALSE;kontorchef;0;FALSE;1900;finansministeriet;FALSE
178;F. P. G. Salicath;F. P. G. Salicath;F. P. G. Salicath;TRUE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
179;VilhelmMatcel Benzon B ang;Vilhelm Marcel Benzon Bang;V. M. B. Bang;FALSE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
180;Einar Blechingberg;Einar Blechingberg;E. Blechingberg;FALSE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
181;Ludvig Christian EngelbrechtJaeobsen;Ludvig Christian Engelbrecht Jacobsen;L. C. E. Jacobsen;FALSE;kontorchef;0;FALSE;1900;finansministeriet;FALSE
182;hristian Anton Georg Hald;Christian Anton Georg Hald;C. A. G. Hald;FALSE;fuldmægtig;0;FALSE;1900;finansministeriet;FALSE
183;A. Løvenskiold;A. Løvenskiold;A. Løvenskiold;TRUE;fuldmægtig;1;FALSE;1900;finansministeriet;TRUE
184;Gustav Ludvig Bull;Gustav Ludvig Bull;G. L. Bull;FALSE;kontorchef;0;FALSE;1900;finansministeriet;FALSE
185;J. L. A. Rothe;J. L. A. Rothe;J. L. A. Rothe;TRUE;departementschef;1;FALSE;1900;finansministeriet;TRUE
